	icao24	callsign	origin_country	time_position	last_contact	long	lat	baro_altitude	on_ground	velocity	true_track	vertical_rate	sensors	geo_altitude	squawk	spi	position_source	x	y	rot_angle	url
10	398d6d	FHDLN   	France	1676208999	1676208999	2.6709	48.4719	3352.8	False	128.2	172.39	-0.33	No Data	3573.78	No Data	False	0	297323.2279597544	6185724.3456391	-172.39	https://www.logolynx.com/images/logolynx/4c/4c507d3961382eefd8a48f5c387a0ee3.png
11	392aee	AFR92RR 	France	1676208999	1676208999	2.4722	48.9171	3528.06	False	142.48	265.24	-6.83	No Data	3787.14	1000	False	0	275204.04513913096	6260806.686969121	-265.24	https://www.logolynx.com/images/logolynx/4c/4c507d3961382eefd8a48f5c387a0ee3.png
12	020066	RAM640B 	Morocco	1676208834	1676208836	2.3178	48.7203	-76.2	False	71.57	62.15	-3.58	No Data	160.02	No Data	False	0	258016.3157606495	6227534.731355677	-62.15	https://www.logolynx.com/images/logolynx/4c/4c507d3961382eefd8a48f5c387a0ee3.png
13	484f7c	KLM1503 	Kingdom of the Netherlands	1676209000	1676209000	2.2387	47.6753	11887.2	False	218.61	194.72	0.33	No Data	12092.94	2113	False	0	249210.94403890157	6053005.322081353	-194.72	https://www.logolynx.com/images/logolynx/4c/4c507d3961382eefd8a48f5c387a0ee3.png
14	4d02c7	JFA71C  	Luxembourg	1676208999	1676208999	2.4579	48.9654	327.66	False	68.19	84.81	17.56	No Data	541.02	No Data	False	0	273612.1764207871	6268992.535849702	-84.81	https://www.logolynx.com/images/logolynx/4c/4c507d3961382eefd8a48f5c387a0ee3.png
15	39a64b	IXR612J 	France	1676208999	1676208999	2.2488	48.8022	1333.5	False	112.11	264.73	0.0	No Data	1531.62	No Data	False	0	250335.27089591365	6241365.274859586	-264.73	https://www.logolynx.com/images/logolynx/4c/4c507d3961382eefd8a48f5c387a0ee3.png
16	38f87c	FJICZ   	France	1676208999	1676208999	2.9008	48.9865	228.6	False	44.25	91.33	-0.33	No Data	419.1	No Data	False	0	322915.57889312797	6272571.036825469	-91.33	https://www.logolynx.com/images/logolynx/4c/4c507d3961382eefd8a48f5c387a0ee3.png
17	394c10	AFR85KJ 	France	1676208998	1676208999	2.5384	46.2424	9875.52	False	203.01	100.51	-4.88	No Data	10096.5	No Data	False	0	282573.39542964566	5819279.445401763	-100.51	https://www.logolynx.com/images/logolynx/4c/4c507d3961382eefd8a48f5c387a0ee3.png
18	346414	VOE73UN 	Spain	1676208999	1676208999	2.5646	48.5841	8839.2	False	220.22	210.46	0.0	No Data	9121.14	1000	False	0	285489.96608842944	6204584.26150347	-210.46	https://www.logolynx.com/images/logolynx/4c/4c507d3961382eefd8a48f5c387a0ee3.png
19	491311	NJE9LB  	Portugal	1676208999	1676208999	2.5052	49.1067	2065.02	False	135.33	268.69	-10.4	No Data	2278.38	No Data	False	0	278877.58833530894	6292985.582646453	-268.69	https://www.logolynx.com/images/logolynx/4c/4c507d3961382eefd8a48f5c387a0ee3.png
20	44ccc5	BEL23B  	Belgium	1676208999	1676208999	2.632	46.6003	10668.0	False	223.7	176.44	0.0	No Data	10866.12	7127	False	0	292992.8997678961	5877075.1571122445	-176.44	https://www.logolynx.com/images/logolynx/4c/4c507d3961382eefd8a48f5c387a0ee3.png
21	a4c7e9	N407PB  	United States	1676208999	1676208999	2.0542	48.8537	274.32	False	60.67	112.43	-0.65	No Data	487.68	No Data	False	0	228672.49798754256	6250073.7055677455	-112.43	https://www.logolynx.com/images/logolynx/4c/4c507d3961382eefd8a48f5c387a0ee3.png
22	345207	VLG8091 	Spain	1676208999	1676208999	2.173	48.6689	586.74	False	77.8	61.57	-3.58	No Data	800.1	No Data	False	0	241897.2534937835	6218866.255126695	-61.57	https://www.logolynx.com/images/logolynx/4c/4c507d3961382eefd8a48f5c387a0ee3.png
23	3950c9	AFR25UK 	France	1676208723	1676208731	2.3122	48.7183	-53.34	False	61.22	61.93	-3.25	No Data	137.16	No Data	False	0	257392.92661220714	6227197.271007403	-61.93	https://www.logolynx.com/images/logolynx/4c/4c507d3961382eefd8a48f5c387a0ee3.png
24	39644b	AFR747  	France	1676208999	1676208999	2.8489	48.9141	2232.66	False	146.57	240.11	12.03	No Data	2453.64	No Data	False	0	317138.0973209571	6260298.51032034	-240.11	https://www.logolynx.com/images/logolynx/4c/4c507d3961382eefd8a48f5c387a0ee3.png
25	40643a	EZY2069 	United Kingdom	1676208999	1676208999	3.325	47.6403	9448.8	False	224.81	157.25	0.0	No Data	9707.88	2025	False	0	370137.3068876347	6047220.834858999	-157.25	https://www.logolynx.com/images/logolynx/4c/4c507d3961382eefd8a48f5c387a0ee3.png
26	3964f4	TVF40SK 	France	1676208999	1676208999	2.5593	48.2664	6614.16	False	185.43	173.31	14.63	No Data	6873.24	No Data	False	0	284899.97278722504	6151289.288532323	-173.31	https://www.logolynx.com/images/logolynx/4c/4c507d3961382eefd8a48f5c387a0ee3.png
27	3964f7	TVF72KM 	France	1676208951	1676208951	2.3178	48.7203	-76.2	False	72.96	61.81	-2.6	No Data	160.02	No Data	False	0	258016.3157606495	6227534.731355677	-61.81	https://www.logolynx.com/images/logolynx/4c/4c507d3961382eefd8a48f5c387a0ee3.png
28	4b1a1e	EZS1949 	Switzerland	1676208999	1676209000	2.576	48.1881	10660.38	False	209.4	147.95	0.0	No Data	10896.6	2007	False	0	286759.00828347274	6138205.217101442	-147.95	https://www.logolynx.com/images/logolynx/4c/4c507d3961382eefd8a48f5c387a0ee3.png
